,trap-date,trap,num-sqitos,ERRATICUS,PIPIENS,PIPIENSRESTUANS,RESTUANS,SALINARIUS,TARSALIS,TERRITANS,wnv,trap-lat,trap-long
2941,2007-09-05,T089,3,0,1,1,0,0,0,0,0,41.723195000000004,-87.64997
2943,2007-09-05,T090,10,0,0,1,0,0,0,0,0,41.868077,-87.666901
2944,2007-09-05,T091,8,0,1,1,0,0,0,0,1,41.862292,-87.64886
2946,2007-09-05,T094,1,0,1,0,0,0,0,0,0,41.720848,-87.666014
2947,2007-09-05,T096,51,0,1,1,0,0,0,0,1,41.731922,-87.677512
2949,2007-09-05,T097,2,0,0,1,0,0,0,0,0,41.644612,-87.60449799999999
2950,2007-09-05,T099,1,0,0,1,0,0,0,0,0,41.733643,-87.55551
2951,2007-09-05,T100,25,0,1,1,0,0,0,0,0,41.717753,-87.531657
2953,2007-09-05,T102,3,0,1,1,0,0,0,0,0,41.750498,-87.605294
2955,2007-09-05,T103,51,0,1,1,0,0,0,0,1,41.702723999999996,-87.536497
2957,2007-09-05,T107,4,0,1,1,0,0,0,0,0,41.729669,-87.582699
2959,2007-09-05,T114,15,0,1,1,1,0,0,0,0,41.798697,-87.736812
2962,2007-09-05,T115,1648,0,33,0,0,0,0,0,3,41.673408,-87.599862
2995,2007-09-05,T135,39,0,1,1,0,0,0,0,1,41.662014,-87.72460799999999
2997,2007-09-05,T138,54,0,1,1,0,0,0,0,0,41.726465000000005,-87.585413
2999,2007-09-05,T155,13,0,1,1,0,0,0,0,0,41.776156,-87.778927
3001,2007-09-05,T156,6,0,1,1,0,0,0,0,0,41.772846,-87.740029
3003,2007-09-05,T157,1,0,1,0,0,0,0,0,0,41.825902,-87.667827
3004,2007-09-05,T158,7,0,1,1,0,0,0,0,0,41.682587,-87.707973
3006,2007-09-05,T160,5,0,1,0,0,0,0,0,0,41.903002,-87.68826700000001
3007,2007-09-05,T161,1,0,1,0,0,0,0,0,0,41.719059,-87.675088
3008,2007-09-05,T162,1,0,1,0,0,0,0,0,0,41.725516999999996,-87.61425799999999
3009,2007-09-06,T115,938,0,1,19,1,0,0,1,0,41.673408,-87.599862
3031,2007-09-06,T128,65,0,1,1,1,0,0,0,0,41.704572,-87.56566600000001
3034,2007-09-06,T138,438,0,8,1,1,0,0,0,1,41.726465000000005,-87.585413
3044,2007-09-06,T200,17,0,2,2,0,1,0,0,0,41.678618,-87.559308
3049,2007-09-06,T206,4,0,1,0,0,0,0,0,0,41.737052,-87.54306700000001
3050,2007-09-06,T209,12,0,1,1,0,0,0,0,0,41.740641,-87.546587
3052,2007-09-06,T212,24,0,1,1,0,0,0,0,1,41.680946,-87.535198
3054,2007-09-06,T215,10,0,1,1,0,1,0,0,0,41.686398,-87.531635
3057,2007-09-06,T221,3,0,1,1,0,0,0,0,0,41.659112,-87.53869300000001
3059,2007-09-12,T001,1,0,0,1,0,0,0,0,0,41.953705,-87.733974
3060,2007-09-12,T002,8,0,1,1,0,0,0,0,1,41.95469,-87.800991
3062,2007-09-12,T003,2,0,0,1,0,0,0,0,0,41.964242,-87.757639
3063,2007-09-12,T004,6,0,1,1,0,0,0,0,0,41.962728000000006,-87.748367
3065,2007-09-12,T007,10,0,1,1,0,0,0,0,0,41.994991,-87.769279
3067,2007-09-12,T008,4,0,1,1,0,0,0,0,0,42.008314,-87.77792099999999
3069,2007-09-12,T009,5,0,1,0,0,0,0,0,0,41.981964000000005,-87.812827
3070,2007-09-12,T011,21,0,1,1,0,0,0,0,1,41.944869,-87.832763
3072,2007-09-12,T012,1,0,0,1,0,0,0,0,0,41.991429,-87.747113
3073,2007-09-12,T013,13,0,1,1,0,0,0,0,0,41.923738,-87.785288
3075,2007-09-12,T014,29,0,1,1,0,0,0,0,0,41.970248,-87.787992
3077,2007-09-12,T015,3,0,0,1,0,0,0,0,0,41.974089,-87.824812
3078,2007-09-12,T018,1,0,0,1,0,0,0,0,0,42.010412,-87.66214000000001
3079,2007-09-12,T019,4,0,1,0,0,0,0,0,0,41.94983,-87.69845699999999
3080,2007-09-12,T027,1,0,1,0,0,0,0,0,0,41.984809000000006,-87.728492
3081,2007-09-12,T030,14,0,1,0,0,0,0,0,0,41.899229999999996,-87.716788
3082,2007-09-12,T031,11,0,1,1,0,0,0,0,0,41.801497999999995,-87.763416
3084,2007-09-12,T033,6,0,1,0,0,0,0,0,0,41.906638,-87.701431
3085,2007-09-12,T034,1,0,0,1,0,0,0,0,0,41.843810999999995,-87.686763
3086,2007-09-12,T035,4,0,1,1,0,0,0,0,0,41.836644,-87.677737
3088,2007-09-12,T036,1,0,1,0,0,0,0,0,0,41.837084999999995,-87.729384
3089,2007-09-12,T037,13,0,1,1,0,0,0,0,0,41.921177,-87.79518
3091,2007-09-12,T039,4,0,1,1,0,0,0,0,0,41.911823999999996,-87.726737
3093,2007-09-12,T048,2,0,0,1,0,0,0,0,0,41.867108,-87.654224
3094,2007-09-12,T049,2,0,1,1,0,0,0,0,0,41.896282,-87.655232
3096,2007-09-12,T051,1,0,1,0,0,0,0,0,0,41.846283,-87.656913
3097,2007-09-12,T054,2,0,1,1,0,0,0,0,0,41.921965,-87.632085
3099,2007-09-12,T060,2,0,1,0,0,0,0,0,0,41.823065,-87.67837800000001
3100,2007-09-12,T061,35,0,1,1,0,0,0,1,0,41.801179,-87.679447
3103,2007-09-12,T062,20,0,1,1,0,0,0,0,0,41.800737,-87.71188000000001
3105,2007-09-12,T063,6,0,1,0,0,0,0,0,0,41.82561,-87.726549
3106,2007-09-12,T065,21,0,1,1,0,0,0,0,0,41.778296999999995,-87.752411
3108,2007-09-12,T066,48,0,1,1,0,0,0,0,0,41.77166,-87.703047
3110,2007-09-12,T067,19,0,1,1,0,0,0,0,1,41.759346,-87.745602
3112,2007-09-12,T069,16,0,1,1,0,0,0,1,0,41.768388,-87.678649
3115,2007-09-12,T071,2,0,1,0,0,0,0,0,0,41.781416,-87.77653199999999
3116,2007-09-12,T072,1,0,0,1,0,0,0,0,0,41.74785,-87.70271600000001
3117,2007-09-12,T073,5,0,1,1,0,0,0,0,1,41.773215,-87.60088
3119,2007-09-12,T074,2,0,0,1,0,0,0,0,0,41.822536,-87.66634300000001
3120,2007-09-12,T078,1,0,1,0,0,0,0,0,0,41.775051,-87.65535600000001
3121,2007-09-12,T079,2,0,0,1,0,0,0,0,0,41.766202,-87.562889
3122,2007-09-12,T080,1,0,1,0,0,0,0,0,0,41.754676,-87.612922
3123,2007-09-12,T081,1,0,0,0,0,0,0,1,0,41.821582,-87.62779599999999
3124,2007-09-12,T082,1,0,0,1,0,0,0,0,0,41.803422999999995,-87.642984
3125,2007-09-12,T084,3,0,0,1,0,0,0,0,0,41.692555,-87.598865
3126,2007-09-12,T085,6,0,1,1,0,0,0,0,0,41.721474,-87.648064
3128,2007-09-12,T086,10,0,1,1,0,0,0,0,0,41.688324,-87.676709
3130,2007-09-12,T088,22,0,1,0,0,0,0,0,0,41.869107,-87.69629300000001
3131,2007-09-12,T089,1,0,0,1,0,0,0,0,0,41.723195000000004,-87.64997
3132,2007-09-12,T090,6,0,1,1,0,0,0,0,0,41.868077,-87.666901
3134,2007-09-12,T091,1,0,0,1,0,0,0,0,0,41.862292,-87.64886
3135,2007-09-12,T094,1,0,1,0,0,0,0,0,0,41.720848,-87.666014
3136,2007-09-12,T095,1,0,1,0,0,0,0,0,0,41.704336,-87.70373599999999
3137,2007-09-12,T096,7,0,1,1,0,0,0,0,0,41.731922,-87.677512
3139,2007-09-12,T097,1,0,0,1,0,0,0,0,0,41.644612,-87.60449799999999
3140,2007-09-12,T100,1,0,1,0,0,0,0,0,0,41.717753,-87.531657
3141,2007-09-12,T102,2,0,1,1,0,0,0,0,0,41.750498,-87.605294
3143,2007-09-12,T103,41,0,1,0,0,0,0,0,0,41.702723999999996,-87.536497
3144,2007-09-12,T107,3,0,1,0,0,0,0,0,0,41.729669,-87.582699
3145,2007-09-12,T114,14,0,1,1,0,0,0,0,1,41.798697,-87.736812
3147,2007-09-12,T115,200,0,4,0,0,0,0,0,0,41.673408,-87.599862
3151,2007-09-12,T128,34,0,1,1,0,0,0,0,0,41.704572,-87.56566600000001
3153,2007-09-12,T129,1,0,0,1,0,0,0,0,0,41.891126,-87.61156
3154,2007-09-12,T135,152,0,3,1,0,0,0,0,0,41.662014,-87.72460799999999
3158,2007-09-12,T138,129,0,4,2,0,0,0,0,0,41.726465000000005,-87.585413
3164,2007-09-12,T146,2,0,1,0,0,0,0,0,0,41.958271,-87.702575
3165,2007-09-12,T147,1,0,1,0,0,0,0,0,0,41.932094,-87.700117
3166,2007-09-12,T150,2,0,1,1,0,0,0,0,0,42.006858,-87.675919
3168,2007-09-12,T151,3,0,0,1,0,0,0,0,0,41.916265,-87.800515
3169,2007-09-12,T153,10,0,1,0,0,0,0,0,0,41.907645,-87.760886
3170,2007-09-12,T154,3,0,1,0,0,0,0,0,0,41.918704999999996,-87.752329
3171,2007-09-12,T155,54,0,1,1,0,0,0,0,0,41.776156,-87.778927
3173,2007-09-12,T156,7,0,1,1,0,0,0,0,0,41.772846,-87.740029
3175,2007-09-12,T158,4,0,1,1,0,0,0,0,0,41.682587,-87.707973
3177,2007-09-12,T160,3,0,1,1,0,0,0,0,0,41.903002,-87.68826700000001
3179,2007-09-12,T162,7,0,1,1,0,0,0,0,0,41.725516999999996,-87.61425799999999
3181,2007-09-12,T200,32,0,1,1,0,0,0,0,0,41.678618,-87.559308
3183,2007-09-12,T206,7,0,0,1,0,0,0,0,0,41.737052,-87.54306700000001
3184,2007-09-12,T209,32,0,1,1,0,0,0,0,0,41.740641,-87.546587
3186,2007-09-12,T212,11,0,1,1,0,0,0,0,0,41.680946,-87.535198
3188,2007-09-12,T215,21,0,1,1,0,0,0,0,0,41.686398,-87.531635
3190,2007-09-12,T219,1,0,1,0,0,0,0,0,0,41.966986999999996,-87.674677
3191,2007-09-12,T220,2,0,0,1,0,0,0,0,0,41.963976,-87.69181
3192,2007-09-12,T221,2,0,1,0,0,1,0,0,0,41.659112,-87.53869300000001
3194,2007-09-18,T002,41,0,1,1,0,0,0,0,0,41.95469,-87.800991
3196,2007-09-18,T003,4,0,0,1,0,0,0,0,0,41.964242,-87.757639
3197,2007-09-18,T004,9,0,1,1,1,0,0,0,0,41.962728000000006,-87.748367
3200,2007-09-18,T005,2,0,1,0,0,0,0,1,0,41.942114000000004,-87.776385
3202,2007-09-18,T006,2,0,1,0,0,0,0,0,0,41.990284,-87.797127
3203,2007-09-18,T007,18,0,1,1,0,0,0,0,0,41.994991,-87.769279
3205,2007-09-18,T008,8,0,1,1,0,0,0,0,0,42.008314,-87.77792099999999
3207,2007-09-18,T009,27,0,1,1,0,0,0,0,0,41.981964000000005,-87.812827
3209,2007-09-18,T011,2,0,1,0,0,0,0,1,0,41.944869,-87.832763
3211,2007-09-18,T012,2,0,0,1,1,0,0,0,0,41.991429,-87.747113
3213,2007-09-18,T013,5,0,1,1,0,0,0,0,0,41.923738,-87.785288
3215,2007-09-18,T014,6,0,1,1,0,0,0,1,0,41.970248,-87.787992
3218,2007-09-18,T015,3,0,1,0,0,0,0,0,0,41.974089,-87.824812
3219,2007-09-18,T016,14,0,1,1,0,0,0,0,0,42.011601,-87.81150600000001
3221,2007-09-18,T017,3,0,1,1,0,0,0,0,0,41.960615999999995,-87.777189
3223,2007-09-18,T018,7,0,1,1,0,0,0,0,0,42.010412,-87.66214000000001
3225,2007-09-18,T019,3,0,1,1,0,0,0,0,0,41.94983,-87.69845699999999
3227,2007-09-18,T025,1,0,1,0,0,0,0,0,0,41.979243,-87.750938
3228,2007-09-18,T027,8,0,1,1,0,0,0,0,0,41.984809000000006,-87.728492
3230,2007-09-18,T028,22,0,1,1,1,0,0,0,0,41.986921,-87.689778
3233,2007-09-18,T030,10,0,0,1,0,0,0,0,0,41.899229999999996,-87.716788
3234,2007-09-18,T031,12,0,1,1,0,0,0,0,0,41.801497999999995,-87.763416
3236,2007-09-18,T033,9,0,1,1,0,0,0,0,0,41.906638,-87.701431
3238,2007-09-18,T035,7,0,1,1,0,0,0,1,0,41.836644,-87.677737
3241,2007-09-18,T037,7,0,1,0,0,0,0,0,0,41.921177,-87.79518
3242,2007-09-18,T039,3,0,0,1,0,1,0,0,0,41.911823999999996,-87.726737
3244,2007-09-18,T044,20,0,1,1,0,0,0,0,0,41.883284,-87.705085
3246,2007-09-18,T045,13,0,1,1,0,0,0,0,0,41.9216,-87.666455
3248,2007-09-18,T046,3,0,0,1,0,0,0,0,0,41.891118,-87.65449100000001
3249,2007-09-18,T047,2,0,1,1,0,0,0,0,0,41.868142,-87.696269
3251,2007-09-18,T048,4,0,1,1,0,0,0,0,0,41.867108,-87.654224
3253,2007-09-18,T049,1,0,1,0,0,0,0,0,0,41.896282,-87.655232
3254,2007-09-18,T051,2,0,0,1,0,0,0,0,0,41.846283,-87.656913
3255,2007-09-18,T054,3,0,1,1,0,0,0,0,0,41.921965,-87.632085
3257,2007-09-18,T060,4,0,1,1,0,0,0,0,0,41.823065,-87.67837800000001
3259,2007-09-18,T061,1,0,1,0,0,0,0,0,0,41.801179,-87.679447
3260,2007-09-18,T062,34,0,1,1,0,0,0,0,0,41.800737,-87.71188000000001
3262,2007-09-18,T063,3,0,1,0,0,0,0,0,0,41.82561,-87.726549
3263,2007-09-18,T129,10,0,1,1,0,0,0,1,0,41.891126,-87.61156
3266,2007-09-18,T141,1,0,0,0,0,0,0,1,0,41.961743,-87.76007
3267,2007-09-18,T143,1,0,1,0,0,0,0,0,0,41.999128999999996,-87.795585
3268,2007-09-18,T144,3,0,1,0,0,0,0,0,0,41.94016,-87.794896
3269,2007-09-18,T145,2,0,1,1,0,0,0,0,0,41.878114000000004,-87.629798
3271,2007-09-18,T146,4,0,1,0,0,0,0,0,0,41.958271,-87.702575
3272,2007-09-18,T148,3,0,1,1,0,0,0,0,0,42.01743,-87.68776899999999
3274,2007-09-18,T149,3,0,1,1,1,0,0,0,0,41.994469,-87.667736
3277,2007-09-18,T150,1,0,0,0,0,0,0,1,0,42.006858,-87.675919
3278,2007-09-18,T151,27,0,1,1,0,0,0,0,0,41.916265,-87.800515
3280,2007-09-18,T152,5,0,1,1,0,0,0,1,0,41.846075,-87.716277
3283,2007-09-18,T153,4,0,1,0,0,0,0,0,0,41.907645,-87.760886
3284,2007-09-18,T154,2,0,1,0,0,1,0,0,0,41.918704999999996,-87.752329
3286,2007-09-18,T219,1,0,0,1,0,0,0,0,0,41.966986999999996,-87.674677
3287,2007-09-19,T063,4,0,0,1,0,0,0,0,0,41.82561,-87.726549
3288,2007-09-19,T065,42,0,1,1,1,0,0,1,0,41.778296999999995,-87.752411
3292,2007-09-19,T066,30,0,1,1,0,0,0,0,0,41.77166,-87.703047
3294,2007-09-19,T067,9,0,1,1,0,0,0,1,0,41.759346,-87.745602
3297,2007-09-19,T070,4,0,1,1,0,0,0,0,0,41.797616,-87.797894
3299,2007-09-19,T071,3,0,1,1,0,0,0,0,0,41.781416,-87.77653199999999
3301,2007-09-19,T073,2,0,1,1,0,0,0,0,0,41.773215,-87.60088
3303,2007-09-19,T074,2,0,1,0,0,0,0,0,0,41.822536,-87.66634300000001
3304,2007-09-19,T075,3,0,1,0,0,0,0,0,0,41.799282,-87.585487
3305,2007-09-19,T076,1,0,0,1,0,0,0,0,0,41.794781,-87.615989
3306,2007-09-19,T077,1,0,1,0,0,0,0,0,0,41.778748,-87.586427
3307,2007-09-19,T078,1,0,0,1,0,0,0,0,0,41.775051,-87.65535600000001
3308,2007-09-19,T079,9,0,1,1,0,0,0,1,0,41.766202,-87.562889
3311,2007-09-19,T080,5,0,0,1,0,0,0,0,0,41.754676,-87.612922
3312,2007-09-19,T081,4,0,0,1,0,0,0,1,0,41.821582,-87.62779599999999
3314,2007-09-19,T082,1,0,1,0,0,0,0,0,0,41.803422999999995,-87.642984
3315,2007-09-19,T083,1,0,0,0,0,0,0,1,0,41.754292,-87.590773
3316,2007-09-19,T084,2,0,0,1,0,0,0,0,0,41.692555,-87.598865
3317,2007-09-19,T085,3,0,1,1,0,0,0,0,0,41.721474,-87.648064
3319,2007-09-19,T086,6,0,2,1,0,0,0,0,0,41.688324,-87.676709
3322,2007-09-19,T088,1,0,0,1,0,0,0,0,0,41.869107,-87.69629300000001
3323,2007-09-19,T089,1,0,0,0,0,1,0,0,0,41.723195000000004,-87.64997
3324,2007-09-19,T090,6,0,1,2,0,0,0,0,0,41.868077,-87.666901
3327,2007-09-19,T091,3,0,1,1,0,0,0,1,0,41.862292,-87.64886
3330,2007-09-19,T092,3,0,1,1,0,0,0,0,0,41.869215999999994,-87.627561
3332,2007-09-19,T094,3,0,0,1,1,0,0,0,0,41.720848,-87.666014
3334,2007-09-19,T095,1,0,1,0,0,0,0,0,0,41.704336,-87.70373599999999
3335,2007-09-19,T096,45,0,1,1,0,0,0,0,0,41.731922,-87.677512
3337,2007-09-19,T099,4,0,1,1,0,0,0,0,0,41.733643,-87.55551
3339,2007-09-19,T100,8,0,1,1,0,0,0,0,0,41.717753,-87.531657
3341,2007-09-19,T102,1,0,0,1,0,0,0,0,0,41.750498,-87.605294
3342,2007-09-19,T103,8,0,1,1,0,0,0,0,0,41.702723999999996,-87.536497
3344,2007-09-19,T107,2,0,1,0,0,0,0,0,0,41.729669,-87.582699
3345,2007-09-19,T114,7,0,1,0,0,0,0,0,0,41.798697,-87.736812
3346,2007-09-19,T115,1361,0,20,9,1,0,0,0,1,41.673408,-87.599862
3376,2007-09-19,T128,10,0,1,1,0,0,0,0,0,41.704572,-87.56566600000001
3378,2007-09-19,T135,1,0,0,1,0,0,0,0,0,41.662014,-87.72460799999999
3379,2007-09-19,T138,83,0,2,2,0,0,0,1,0,41.726465000000005,-87.585413
3384,2007-09-19,T145,1,0,1,0,0,0,0,0,0,41.878114000000004,-87.629798
3385,2007-09-19,T146,2,0,0,1,0,0,0,0,0,41.958271,-87.702575
3386,2007-09-19,T149,1,0,0,0,0,0,0,1,0,41.994469,-87.667736
3387,2007-09-19,T155,21,0,1,1,0,0,0,1,0,41.776156,-87.778927
3390,2007-09-19,T156,4,0,1,0,1,0,0,1,0,41.772846,-87.740029
3393,2007-09-19,T157,1,0,0,1,0,0,0,0,0,41.825902,-87.667827
3394,2007-09-19,T158,4,0,1,1,0,0,0,1,0,41.682587,-87.707973
3397,2007-09-19,T160,2,0,1,1,0,0,0,0,0,41.903002,-87.68826700000001
3399,2007-09-19,T161,1,0,0,1,0,0,0,0,0,41.719059,-87.675088
3400,2007-09-19,T200,19,0,1,1,0,0,0,0,0,41.678618,-87.559308
3402,2007-09-19,T206,2,0,0,1,0,0,0,1,0,41.737052,-87.54306700000001
3404,2007-09-19,T209,6,0,0,1,0,0,0,1,0,41.740641,-87.546587
3406,2007-09-19,T212,4,0,1,1,0,0,0,0,0,41.680946,-87.535198
3408,2007-09-19,T215,4,0,0,1,0,0,0,0,0,41.686398,-87.531635
3409,2007-09-19,T221,3,0,1,0,0,0,0,0,0,41.659112,-87.53869300000001
3410,2007-09-24,T002,74,0,1,1,0,0,0,0,0,41.95469,-87.800991
3412,2007-09-24,T003,12,0,1,1,0,0,0,0,0,41.964242,-87.757639
3414,2007-09-24,T004,23,0,1,0,0,0,0,0,0,41.962728000000006,-87.748367
3415,2007-09-24,T005,2,0,0,1,0,0,0,0,0,41.942114000000004,-87.776385
3416,2007-09-24,T006,3,0,0,1,0,0,0,0,0,41.990284,-87.797127
3417,2007-09-24,T007,3,0,1,0,0,0,0,0,0,41.994991,-87.769279
3418,2007-09-24,T008,15,0,1,0,0,0,0,0,0,42.008314,-87.77792099999999
3419,2007-09-24,T009,32,0,1,1,0,0,0,0,0,41.981964000000005,-87.812827
3421,2007-09-24,T011,2,0,1,0,0,0,0,0,0,41.944869,-87.832763
3422,2007-09-24,T012,9,0,1,1,1,0,0,0,0,41.991429,-87.747113
3425,2007-09-24,T013,19,0,1,1,0,0,0,0,0,41.923738,-87.785288
3427,2007-09-24,T014,9,0,1,1,0,0,0,0,0,41.970248,-87.787992
3429,2007-09-24,T015,5,0,1,0,0,0,0,0,0,41.974089,-87.824812
3430,2007-09-24,T016,25,0,1,1,0,0,0,0,0,42.011601,-87.81150600000001
3432,2007-09-24,T017,2,0,0,1,0,0,0,0,0,41.960615999999995,-87.777189
3433,2007-09-24,T019,2,0,0,1,0,0,0,0,0,41.94983,-87.69845699999999
3434,2007-09-24,T025,4,0,1,1,0,0,0,0,0,41.979243,-87.750938
3436,2007-09-24,T027,4,0,1,1,0,0,0,1,0,41.984809000000006,-87.728492
3439,2007-09-24,T028,18,0,1,1,1,0,0,0,0,41.986921,-87.689778
3442,2007-09-24,T030,17,0,1,1,0,0,0,0,0,41.899229999999996,-87.716788
3444,2007-09-24,T031,23,0,1,1,0,0,0,0,0,41.801497999999995,-87.763416
3446,2007-09-24,T033,26,0,1,1,0,0,0,0,0,41.906638,-87.701431
3448,2007-09-24,T034,1,0,0,1,0,0,0,0,0,41.843810999999995,-87.686763
3449,2007-09-24,T035,5,0,1,1,0,0,0,1,0,41.836644,-87.677737
3452,2007-09-24,T036,6,0,1,1,0,0,0,0,0,41.837084999999995,-87.729384
3454,2007-09-24,T037,5,0,1,0,0,0,0,0,0,41.921177,-87.79518
3455,2007-09-24,T039,2,0,1,0,0,0,0,0,0,41.911823999999996,-87.726737
3456,2007-09-24,T047,2,0,1,0,0,0,0,0,0,41.868142,-87.696269
3457,2007-09-24,T048,16,0,1,1,0,0,0,0,0,41.867108,-87.654224
3459,2007-09-24,T049,5,0,1,1,0,0,0,0,0,41.896282,-87.655232
3461,2007-09-24,T051,12,0,1,1,0,0,0,0,0,41.846283,-87.656913
3463,2007-09-24,T054,9,0,1,1,0,0,0,0,0,41.921965,-87.632085
3465,2007-09-24,T060,2,0,1,0,0,0,0,0,0,41.823065,-87.67837800000001
3466,2007-09-24,T061,25,0,1,1,0,0,0,1,0,41.801179,-87.679447
3469,2007-09-24,T062,17,0,1,0,0,0,0,0,0,41.800737,-87.71188000000001
3470,2007-09-24,T063,5,0,1,1,0,0,0,0,0,41.82561,-87.726549
3472,2007-09-24,T065,9,0,1,1,0,0,0,0,0,41.778296999999995,-87.752411
3474,2007-09-24,T066,20,0,1,1,0,0,0,1,0,41.77166,-87.703047
3477,2007-09-24,T067,8,0,1,0,0,0,0,0,0,41.759346,-87.745602
3478,2007-09-24,T073,2,0,1,1,0,0,0,0,0,41.773215,-87.60088
3480,2007-09-24,T074,3,0,1,0,0,0,0,0,0,41.822536,-87.66634300000001
3481,2007-09-24,T075,1,0,1,0,0,0,0,0,0,41.799282,-87.585487
3482,2007-09-24,T078,4,0,1,0,0,0,0,0,0,41.775051,-87.65535600000001
3483,2007-09-24,T079,8,0,1,1,0,0,0,0,0,41.766202,-87.562889
3485,2007-09-24,T080,11,0,1,1,0,0,0,0,0,41.754676,-87.612922
3487,2007-09-24,T083,2,0,1,1,0,0,0,0,0,41.754292,-87.590773
3489,2007-09-24,T084,1,0,0,1,0,0,0,0,0,41.692555,-87.598865
3490,2007-09-24,T085,16,0,1,1,0,0,0,1,0,41.721474,-87.648064
3493,2007-09-24,T086,18,0,2,2,0,0,0,0,0,41.688324,-87.676709
3497,2007-09-24,T088,8,0,1,1,0,0,0,0,0,41.869107,-87.69629300000001
3499,2007-09-24,T089,9,0,1,1,0,0,0,0,0,41.723195000000004,-87.64997
3501,2007-09-24,T090,3,0,1,0,0,0,0,0,0,41.868077,-87.666901
3502,2007-09-24,T091,3,0,0,1,0,0,0,0,0,41.862292,-87.64886
3503,2007-09-24,T092,7,0,1,1,0,0,0,0,0,41.869215999999994,-87.627561
3505,2007-09-24,T095,11,0,1,1,0,0,0,0,0,41.704336,-87.70373599999999
3507,2007-09-24,T096,68,0,2,1,0,0,0,0,0,41.731922,-87.677512
3510,2007-09-24,T099,6,0,1,1,0,0,0,0,0,41.733643,-87.55551
3512,2007-09-24,T100,7,0,1,1,0,0,0,0,0,41.717753,-87.531657
3514,2007-09-24,T102,18,0,1,1,0,0,0,0,0,41.750498,-87.605294
3516,2007-09-24,T103,35,0,1,1,1,0,0,0,0,41.702723999999996,-87.536497
3519,2007-09-24,T107,17,0,1,1,0,0,0,0,0,41.729669,-87.582699
3521,2007-09-24,T115,627,0,11,2,0,0,0,0,2,41.673408,-87.599862
3534,2007-09-24,T129,4,0,0,1,0,0,0,1,0,41.891126,-87.61156
3536,2007-09-24,T135,46,0,1,1,0,0,0,0,0,41.662014,-87.72460799999999
3538,2007-09-24,T138,10,0,1,1,0,0,0,0,0,41.726465000000005,-87.585413
3540,2007-09-24,T141,1,0,0,1,0,0,0,0,0,41.961743,-87.76007
3541,2007-09-24,T143,11,0,1,1,0,0,0,0,0,41.999128999999996,-87.795585
3543,2007-09-24,T144,13,0,1,1,0,0,0,1,0,41.94016,-87.794896
3546,2007-09-24,T145,3,0,0,2,0,0,0,0,0,41.878114000000004,-87.629798
3548,2007-09-24,T146,5,0,1,1,0,0,0,0,0,41.958271,-87.702575
3550,2007-09-24,T147,1,0,0,1,0,0,0,0,0,41.932094,-87.700117
3551,2007-09-24,T148,8,0,1,1,0,0,0,0,0,42.01743,-87.68776899999999
3553,2007-09-24,T150,9,0,1,1,0,0,0,1,0,42.006858,-87.675919
3556,2007-09-24,T151,24,0,1,1,0,0,0,0,0,41.916265,-87.800515
3558,2007-09-24,T152,1,0,1,0,0,0,0,0,0,41.846075,-87.716277
3559,2007-09-24,T153,10,0,0,1,0,0,0,0,0,41.907645,-87.760886
3560,2007-09-24,T154,8,0,1,1,0,0,0,0,0,41.918704999999996,-87.752329
3562,2007-09-24,T156,1,0,0,1,0,0,0,0,0,41.772846,-87.740029
3563,2007-09-24,T157,1,0,1,0,0,0,0,0,0,41.825902,-87.667827
3564,2007-09-24,T158,12,0,1,1,0,0,0,0,0,41.682587,-87.707973
3566,2007-09-24,T159,2,0,1,1,0,0,0,0,0,41.732984,-87.649642
3568,2007-09-24,T160,7,0,1,1,0,0,0,0,0,41.903002,-87.68826700000001
3570,2007-09-24,T162,9,0,1,1,0,0,0,0,0,41.725516999999996,-87.61425799999999
3572,2007-09-24,T218,11,0,1,1,0,0,0,0,0,41.948167,-87.730698
3574,2007-09-24,T219,8,0,1,1,0,0,0,0,0,41.966986999999996,-87.674677
3576,2007-09-24,T220,2,0,0,1,0,0,0,0,0,41.963976,-87.69181
3577,2007-09-25,T115,158,0,0,4,0,0,0,0,0,41.673408,-87.599862
3581,2007-09-25,T138,17,0,1,1,1,0,0,0,0,41.726465000000005,-87.585413
3584,2007-09-25,T200,81,0,2,2,0,0,0,1,0,41.678618,-87.559308
3589,2007-09-25,T206,2,0,1,1,0,0,0,0,0,41.737052,-87.54306700000001
3591,2007-09-25,T209,34,0,1,1,0,0,0,1,0,41.740641,-87.546587
3594,2007-09-25,T212,6,0,1,1,0,0,0,0,0,41.680946,-87.535198
3596,2007-09-25,T215,24,0,1,1,0,0,0,0,0,41.686398,-87.531635
3598,2007-09-25,T221,11,0,1,1,0,0,0,0,0,41.659112,-87.53869300000001
3600,2007-10-04,T001,2,0,1,0,0,0,0,1,0,41.953705,-87.733974
3602,2007-10-04,T002,82,0,2,1,0,0,0,0,0,41.95469,-87.800991
3605,2007-10-04,T003,19,0,1,1,0,0,0,0,0,41.964242,-87.757639
3607,2007-10-04,T004,8,0,1,0,0,0,0,0,0,41.962728000000006,-87.748367
3608,2007-10-04,T005,2,0,0,1,0,0,0,0,0,41.942114000000004,-87.776385
3609,2007-10-04,T006,11,0,1,1,0,0,0,0,0,41.990284,-87.797127
3611,2007-10-04,T007,3,0,1,1,0,0,0,0,0,41.994991,-87.769279
3613,2007-10-04,T008,27,0,1,1,0,0,0,0,0,42.008314,-87.77792099999999
